,0
Shrigonda(Gogargaon),3116
Shrimushnam,3682
Shrirampur,1435
Shrirampur(Belapur),2477
Shujalpur,1128
Shyampur,2731
Siddapur,794
Siddavatam,2186
Siddhpur,1408
Siddipet,10
"Siddipet Town,RBZ",3586
Siddipet(Rythu Bazar),4301
Siddout,1059
Sidhi,821
Sidhwan Bet,1748
Sidhwan Bet (Lodhiwala),4420
Sihora,8000
Sihora(F&amp;V),3897
Sikandara,10015
Sikanderabad,2538
Sikandraraau,1931
Sikar,664
Sikarpur,2540
Sikri,8097
Silachhari,3931
Silapathar,410
Siliguri,2923
Sillod,582
Sillod(Bharadi),2499
Silvani,8310
Silvassa,50
Silyari,4000
Simariya,8322
Simdega,2055
Simga,4002
Sindagi,734
Sindagi(chadachan),4122
Sindagi(Devarayipparagi),4124
Sindagi(Hendi),4123
Sindevahi,2112
Sindhanpur,4020
Sindhanur,125
Sindholi,2591
Sindhudurg,2070
Sindi,1510
Sindi(Selu),3969
Sindkhed Raja,2102
Singampunari(Uzhavar Sandhai ),10236
Singampuneri,3740
Singanallur(Uzhavar Sandhai ),10147
Singarayakonda,380
Singheswarsthan,1654
Singroli,2730
Singvad,8383
Sinner,1815
Sira,789
Sirali,8309
Sircilla,1060
Sirguppa,110
Sirhind,1181
Sirkali,3715
Sirkali(Uzhavar Sandhai ),10199
Sirmour(Bagthan),2904
Sirmour(sarahan),2905
Sironcha,4766
Sironj,2427
Sirri,4028
Sirsa,1924
Sirsa,97
Sirsa(Malekan),2838
Sirsaganj,2563
Sirsam,4759
Sirsi,796
Siswali,8124
Sitamarhi,419
Sitapur,343
Sitapur,2764
Sitapura,8137
Sitarganj,1837
Sitmau,3066
Siugam,8356
Sivagangai,1858
Sivagangai (Uzhavar Sandhai ),10232
Sivagiri,2803
Sivakasi(Uzhavar Sandhai ),10296
Sivasagar,1884
Siwan,2018
Siwan,42
Siwani,1995
Siyana,2537
Sohanjana,8268
Soharatgarh,2623
Sohela,3920
Sohna,1155
Sohra,3985
Sojat City,3139
Sojat Road,1551
Sojitra,2651
Solan,78
Solan(Banalgi),2901
Solan(ChakkikaMor),2903
Solan(Nalagarh),2900
Solan(Parwanoo),2902
Solan(Rajgarh),2899
Solapur,176
Somala,1061
Somawarpet(Suntikoppa),4157
Sompeta,1364
Somvarpet,768
Sonamura,3927
Sonepat,477
Sonepat(Kharkhoda),2842
Songadh,1722
Songadh(Badarpada),3032
Songadh(Umrada),3437
Sonkatch,1379
Sonpeth,2390
Sonpur,10033
Sooramangalam(Uzhavar Sandhai ),10221
Sorabha,3977
Soundati,726
Soundatti(Heragatti),4118
Soundatti(Munavalli),4119
South 24-PGS,834
Soyatkalan,4210
Soygaon,2386
Sri Har Gobindpur,1585
Sri Har Gobindpur(Harechowal),2880
Sri Karanpur,1565
Sri Madhopur,665
Sri Vijayanagar,1566
Sridungargarh,2848
Sriganganagar,269
Sriganganagar(F&amp;V),1782
Srikakulam,1062
"Srikakulam (Illandu Junction),RBZ",3550
Srikalahasti,1063
Sringeri,740
Srinivasapur,515
Srirampur,1137
Srirangapattana,2370
Srivilliputhur(Uzhavar Sandhai ),10294
"Steel Plant,RBZ",1355
Subir,8395
Sujangarh(Churu),1536
Sujawalpur,8172
Sukhchainpura,8154
Sukma,8052
Sulargharat,1761
Sullurpet,1064
Sultan bathery,149
Sultanabad,1065
Sultanabad(Garrepally),8016
Sultanpur,8141
Sultanpur,685
Sultanpur,234
Sultanpur Lodhi (Tibba),4405
Sultanpurchilkana,2546
Sulur,2808
Sulur(Uzhavar Sandhai ),10151
Sulya,746
Sumerganj,2852
Sumerpur,1187
Sunam,250
Sundarapuram(Uzhavar Sandhai ),10153
Sunguvarchatram,3984
Sunguvarchatram(Uzhavar Sandhai ),10178
Supaul,1652
Super Market Lungli (Bara Bazar),204
Suragana,2383
Surajgarh,1560
Surajpur,2766
Surat,70
Surat(Old Sardar Market),2954
Suratgarh,1542
Surendrangr,8367
Surjyagarha,10019
"Suryapet,RBZ",3595
Suryapeta,13
Susner,2723
Suthalia,3059
Sutrapada,8407
Suvasra,2468
Swarajmaidan(Rythu Bazar),4297
Syopurkalan(F&amp;V),3893
T. Narasipura,520
T.Narasipura(Bannur),4154
Taal,2741
Tadepalligudem,1067
Tadikonda,1068
Tadipatri,1066
Tadkalas,2088
Tajpur,10032
Takhatpur,2407
Talala,1789
Talalagir,816
Talcher,1673
Talegaon Dabhade,2078
Taleja,2681
Talikot,533
Talikot(Muddebehala),4125
Taliparamba,2158
Talod,67
Talod(Harsol),2967
Taloda,2075
Talwandi Bhai,635
Talwandi Bhai(Mudki),3829
Talwandi Sabo,1733
Talwandi Sabo(Kot Fatta),3827
Talwandi Sabo(Shekhupura),3828
Talwandi Sanghere,8346
Talwara,8182
Talwara Jheel,8148
Tamarainagar(Uzhavar Sandhai ),10276
Tamkuhi Road,2143
Tamluk (Medinipur E),359
Tanakpur,1836
Tanda,2604
Tanda UrMar (Miani mandi),4436
Tanda Urmur,1588
Tanda(Rampur),2570
Tanduru,1069
Tangmarg,2527
Tankara,8405
Tanuku,1070
Tapa,1617
Tapa(Sadar Bazar),2870
Tapa(Tapa Mandi),2871
Tarana,1377
Tarantaran,227
Tarapur,2650
Tarikere,527
Tarori,89
Tasgaon,1811
Taura,2003
Tawang,402
Teghra,1648
Tekari,10014
Tekkali,1071
Telhara,1477
Teliamura,313
Tellarevu,3808
Tenakallu,3457
Tenali,1072
Tendukheda,2715
Tendukona,4014
Tenkasi(Uzhavar Sandhai ),10317
Tenning,4252
Teoan Pujarian,8075
Tezu,401
Thakurganj,1658
Thalaivasal,3694
Thalasserry,136
Thalavadi,3540
Thalavadi(Uzhavar Sandhai ),10175
Thalavaipuram(Uzhavar Sandhai ),10299
Thalayolaparambu,3079
Thamarassery,3096
Thambalapalli,1073
Thammampati,2801
Thammampatti (Uzhavar Sandhai ),10229
Thanabhawan,2548
Thandla,2439
Thane Market,2472
Thanesar,94
Thangdh,8366
Thanjavur,300
Thanjavur(Uzhavar Sandhai ),10237
Thara,1716
Thara(Shihori),3418
Tharad,1689
Tharad(Rah),3010
Thasara,1700
Thasara(Dokar),3017
Thathakapatti(Uzhavar Sandhai ),10224
Thattanchavady,253
Thellar,3659
Theni,1628
Theni(Uzhavar Sandhai ),10242
Thenkasi,3717
Thikaria GSS ,10136
Thimiri,3666
Thirthahalli,3976
Thirukalukundram(Uzhavar Sandhai ),10310
Thirukkalukundram,3654
Thirukovilur,305
Thirumangalam,1856
Thirumangalam(Uzhavar Sandhai ),10194
Thirupathur,2798
Thirupoondi,8290
Thiruppananthal,8294
Thiruppur,290
Thirurrangadi,3090
Thiruvananthapuram,145
Thiruvannamalai,1624
Thiruvarur,303
Thiruvennainallur,3546
Thiruverumbur(Uzhavar Sandhai ),10282
Thiryagadurgam,1844
Thittarthy,8020
Thodupuzha,1122
Thoduvetty,4369
Thompramkudi,4375
Thondamuthur,3525
Thoothukudi,1857
Thorrur,1075
Thottambedu,1074
Thoubal,1172
Thrippunithura,2530
Thrissur,147
Thungathurthy,1076
Thuraiyur,3723
Thuraiyur(Uzhavar Sandhai ),10279
Tibbi,8150
Tijara,8104
Tikabali,219
Tikamgarh,564
Tikonia,2147
Tilakwada,2679
Tileibani,3921
Tilhar,1910
Timarni,2421
Timbi,2672
Tindivanam,1359
Tindivanam(Uzhavar Sandhai ),10289
Tinsukia,406
Tiphra,4055
Tiptur,790
Tiroda,1512
Tiruchengode,3689
Tiruchengode(Agri. Coop. Marketing Society),3793
Tiruchengode(Uzhavar Sandhai ),10201
Tirukattupalli(Uzhavar Sandhai ),10240
Tirumalagiri,2044
Tirunelvali,1632
Tirupathur(Uzhavar Sandhai ),10319
Tirupati,1077
"Tirupati (TUDA),RBZ",3577
Tirupatthur(Uzhavar Sandhai ),10235
Tiruppur (North) (Uzhavar Sandhai ),10323
Tiruppur (South) (Uzhavar Sandhai ),10324
Tiruthani(Uzhavar Sandhai ),10254
Tiruthuraipoondi,1363
Tiruthuraipoondi(Uzhavar Sandhai ),10260
Tiruttani,2796
Tiruvallur(Uzhavar Sandhai ),10255
Tiruvannamalai(Uzhavar Sandhai ),10269
Tiruvarur(Uzhavar Sandhai ),10262
Tiruvellore,670
Tiruvennainallur,3683
Tiruvuru,1078
Tittakudi,3680
Tiwasa,2099
Todabhim,8112
Todaraisingh,8423
Togguta,2321
Tohana,842
Tohana(New Veg Market),2825
Tokapal,4086
Tonk,650
Toofanganj,854
Tosham,1994
Toshgaon,4018
Tral,2523
Trichy,1852
Triveniganj,10037
Tseminyu,4248
Tuensang,1872
Tukkapettai,2811
Tuli,4247
Tuljapur,2139
Tulsi,4001
Tulsipur,1947
Tumkur,784
Tumsar,1170
Tundla,2564
Tuni,1079
Tura,1169
Turvekere,512
Tusura,3907
Tuticorin(Uzhavar Sandhai ),10267
Uchana,2014
Uchhal,1711
Uchhal(Karod),3027
Udaipur,669
Udaipur(F&amp;V),3145
Udaipura,2434
Udala,1669
Udat Bhagta Ram,8079
Udayagiri,1080
Udaypur,4082
Udgir,586
Udgir(Devanibud),2515
Udgir(Hali),3962
Udhagamandalam(Uzhavar Sandhai ),10206
Udhampur,106
Udumalpet,1102
Udumalpet(Uzhavar Sandhai ),10322
Udupi,858
Ujhani,1918
Ujjain,197
Ujjain(F&amp;V),3880
Uklana,2005
Ulhasnagar,1429
Uluberia,2641
Ulundurpettai,309
Ulundurpettai(Uzhavar Sandhai ),10312
Umarala,8417
Umared,164
Umarga,2140
Umargam,8400
Umari,2132
Umariya,1394
Umarked(Danki),2508
Umarkhed,1491
Umarpada,8388
Umrane,4760
Umreth,1411
Una,486
Una,461
Unava,1407
Undi,2635
Ungatur,1081
Unhel,2717
Uniyara,2846
Unjha,61
Unnao,1196
Upleta,810
"Ursu Premises, Nalgonda,RBZ",3592
Urvakonda,1082
Usilampatti(Uzhavar Sandhai ),10193
Usilampatty,3704
Uthangarai,2789
Uthiramerur,1132
Uthukottai,3656
Utraula,2620
Uttaripura,2579
V.Kota Mkt.Yard,1235
Vadakanandhal,8055
Vadakara,141
vadakarapathy,3086
Vadakkenchery,3087
Vadali,2654
Vadalur(Uzhavar Sandhai ),10158
Vadamadurai ,4271
Vadaseri,708
Vadaseri(Uzhavar Sandhai ),10300
Vadavalli(Uzhavar Sandhai ),10152
Vadgam,2691
Vadgaonpeth,1453
Vadhvan,472
Vadiya,8416
Vadlapudi,1354
Vadnagar,1687
Vadnagar(Kheralu),3009
Vadodara,55
Vadodara(Navapura),3428
Vadodara(Sayajipura),2952
Vaduj,1463
Vaduvur,2628
Vadvani,3970
Vaghai,8394
Vagodiya,2660
Vai,1464
Vaijpur,1471
Vairengte,610
Vakadu,1084
Valangaiman,2624
Valangaiman(Uzhavar Sandhai ),10266
Valathi,3686
Valia,1706
Valia(Nethrang),3023
Valigonda,2216
Vallabhipur,8375
Vallabhnagar,8191
Vallam,8293
Valod,1712
Valod(Buhari),3028
Valpol,3818
Valsad,457
Valsad(Dungari),2985
Vamanapuram,2377
Vanapuram,3661
"Vanasthalipuram,RBZ",1249
Vandavasi,302
Vandavasi(Uzhavar Sandhai ),10274
Vandiperiyar,3081
Vani,601
Vaniyambadi,3677
Vaniyampadi(Uzhavar Sandhai ),10318
Vankaner,1784
Vankaner(Sub yard),4371
Vansda,1721
Vansda(Limzar),3031
Vantamamidi,4398
Vanthli,2675
vapi,8401
Varahi,3040
Varanasi(F&amp;V),1352
Varanasi(Grain),346
Varaseoni,2444
Varipaal,1943
Varni,3459
Varora,1812
Varud,1480
Varud(Rajura Bazar),2504
Vasai,1428
Vashi New Mumbai,3108
Vaso,8380
Vathlagundu,3707
Vatpally,8302
Vav,2690
Vayalapadu,1092
Vazhapadi,3693
Vedachandur,4270
Vedaranyam,3716
Vedasanthur(Uzhavar Sandhai ),10169
Velayuthampalayam(Uzhavar Sandhai ),10182
Vellakkoil,3541
Vellakovil,3730
Vellankoil,3542
Vellore,1623
Vellore(Uzhavar Sandhai ),10285
Velpur,8044
Velur,3692
Vemulawada,1085
Vemulawada(Boinpally),8012
Vengamedu(Uzhavar Sandhai ),10184
Vengeri(Kozhikode),132
Venkatagiri,1086
Venkateswarnagar,1087
Venkateswarnagar(Chintapalli),2783
Vepanjari,2636
Veppanthattai(Uzhavar Sandhai ),10211
Veraval,2676
Vessue,101
Vettavalam,2812
Vidisha,199
Vijapur,1150
Vijapur(Gojjariya),2959
Vijapur(Kukarvada),2958
Vijapur(Ladol),3212
Vijapur(veg),3213
Vijay Nagar(Gulabpura),3168
Vijaya Agri Private Market,10065
Vijayanagaram,18
Vijayanagaram(Rythu Bazar),4306
Vijayawada,1088
"Vijayawada(S.Maidan),RBZ",1221
Vijaynagar(Kundlakap),3015
Vijaypur,3057
Vikarabad,394
Vikasnagar,695
Vikkiravandi,1846
Vikramganj,10029
Vilaspur,1908
Vilathikulam,1107
Villupuram,307
Villupuram(Uzhavar Sandhai ),10290
Vilthararoad,2615
Vinayak  Niji  up  Mandi yard,10124
Vinayak Krishi-Mandi Yard,8178
Vinukonda,1089
Viralimalai(Uzhavar Sandhai ),10217
Viramgam,449
Virpur,2687
Virudhachalam,293
Virudhunagar,674
Virudhunagar(Uzhavar Sandhai ),10295
Viruthachalam(Uzhavar Sandhai ),10156
Visakhapatnam,874
Visavadar,1696
Vishalpur,1909
Vishrampur,4098
Visnagar,62
Visoli,2573
Viswan,2588
Vita,2080
Vithinasserri,4386
Vitthal Krushi Utpanna Bazar ,10073
Voligonda,1091
Voligonda(Ramannapet),2782
Vuyyur,1093
"Vuyyur,RBZ",3568
Vuyyuru(Rythu Bazar),4298
Vyara(Paati),2983
Vyra,471
Wadakkanchery,2367
Wahiajer,3990
Wanaparthy Road,1094
Wanaparthy Road(Prbbair),2776
Wanaparthy town,1095
Wansi,2622
Warangal,19
Wardha,1804
Wardhannapet,1096
Warsola,8243
Washi(Osmanabad),2396
Washim,1800
Washim(Ansing),2509
Wazirganj,2574
"Weekly Market Area,RBZ",1242
Weir,8098
Williamnagar,2049
Wokha Town,614
Wyra,1097
Wyra,8028
Yadagiri(Gurumittkal),4146
Yadgir,760
Yalburga,774
Yallapura(Kiruvathi),4142
Yamuna Nagar,473
Yamunanagar(Fish Market),4272
Yanam,4355
Yashika Agro Marketing,10085
Yawal,1445
Yellamanchili,1098
Yellandu,802
Yellandu,8025
Yellapur,795
Yellareddy,393
Yemmiganur,1099
Yeola,167
Yeotmal,602
Yingkiong,2917
Yusufpur,2608
Z[State Total],9986
Z[State Total],9987
Z[State Total],9988
Z[State Total],9989
Z[State Total],9990
Z[State Total],9991
Z[State Total],9992
Z[State Total],9993
Z[State Total],9994
Z[State Total],9995
Z[State Total],9996
Z[State Total],9997
Z[State Total],9998
Z[State Total],9999
Zaheerabad,396
Zalod(Sanjeli),3003
Zalod(Zalod),3210
Zaloosa-Chararishrief (F&amp;V),498
ZariZamini,2108
Zerota,8113
Zira,1581
Ziro,1136
Zunheboto,1870
